client_slug,client_name,company_name,owner_name,website_domain,client_state,primary_market,markets,services,competitors,tone,phone,ai_visibility_baseline,deliverables_repo,deliverables_branch,deliverables_path,enabled
all-heights-roofing,All Heights Roofing,All Heights Roofing & Construction,,allheightsroofing.com,OH,Willoughby OH,"Willoughby OH;Mentor OH;Eastlake OH;Wickliffe OH;Painesville OH;Cleveland OH","roof replacement;roof repair;storm damage repair;hail damage repair;gutter installation;siding","highland-roofing-ohio.com;dynamicroofingsolutions.com;allamericanroofingrepair.com",professional,,21,,,,true
colorado-preferred-roofing,Colorado Preferred Roofing,Colorado Preferred Roofing,,coloradopreferredroofing.com,CO,Littleton CO,"Littleton CO;Highlands Ranch CO;Centennial CO;Denver CO;Castle Rock CO;Colorado Springs CO","roof replacement;hail damage repair;storm damage repair;insurance claims;free inspection","peakviewroofing.com;academyroofingco.com;interstateroofing.com",premium,,14,,,,true
highpoint-construction,Highpoint Construction,Highpoint Construction,,highpointconstructionnd.com,ND,Bismarck ND,"Bismarck ND;Mandan ND;Lincoln ND;Minot ND;Dickinson ND","roof replacement;roof repair;hail damage repair;storm damage repair;siding;gutters","badlandsroofing.com;dakotapremierroofingllc.com;jdwroofing.com",professional,,14,,,,true
horvath-roofing,Horvath Roofing,Horvath Roofing Inc,,horvathroofinginc.com,OH,Huron OH,"Huron OH;Sandusky OH;Norwalk OH;Vermilion OH;Bellevue OH;Port Clinton OH","roof replacement;roof repair;rubber roofing;metal roofing;commercial roofing;storm damage repair","kalkreuth.com;allstateexteriors.com;arrowheadbp.com",professional,,30,,,,true
link-exteriors,Link Exteriors,Link Exteriors,,linkexteriors.com,MN,Minneapolis MN,"Minneapolis MN;St Paul MN;Bloomington MN;Plymouth MN;Maple Grove MN","roof replacement;hail damage repair;storm damage repair;siding;windows;gutters","allamerican-exteriors.com;craftsmanhome.com;lindusconstruction.com",premium,,14,,,,true
oneway-roofing,Oneway Roofing,Oneway Construction and Roofing,,onewayroof.com,TX,Houston TX,"Houston TX;Katy TX;Sugar Land TX;Pearland TX;Spring TX","roof replacement;roof repair;storm damage repair;hail damage repair;commercial roofing","amstillroofing.com;rebrothersroofing.com;deansroofing.com",professional,,28,,,,true
spennato-roofing,Spennato Roofing,Spennato Family Roofing,,spennatoroofing.com,PA,Philadelphia PA,"Philadelphia PA;Bensalem PA;Levittown PA;Newtown PA;Doylestown PA","roof replacement;roof repair;storm damage repair;flat roofing;commercial roofing","powerhomeremodeling.com;solidstateconstruction.com;allenroofing.com",family-friendly,,30,,,,true
shingle-hut,Shingle HUT,Shingle HUT,,shinglehut.com,FL,Tampa FL,"Tampa FL;Brandon FL;Riverview FL;Lakeland FL;Wesley Chapel FL","roof replacement;roof repair;tile roofing;metal roofing;storm damage repair;hurricane damage","westfallroofing.com;rkstanleyroofing.com;floridasouthernroofing.com",professional,,,,,,true
